time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
10.401,0.42,0.4047,-0.0153,-0.01
10.451,0.4197,0.4047,-0.015,-0.01
10.501,0.4187,0.4047,-0.014,-0.01
10.551,0.4184,0.4047,-0.0137,-0.01
10.601,0.4176,0.4047,-0.0129,-0.016
10.651,0.4169,0.4047,-0.0122,-0.014
10.701,0.416,0.4047,-0.0113,-0.014
10.751,0.4159,0.4047,-0.0112,-0.014
10.801,0.4147,0.4047,-0.01,-0.014
10.851,0.4142,0.4047,-0.0095,-0.014
10.901,0.4142,0.4047,-0.0095,-0.014
10.951,0.4126,0.4047,-0.0079,-0.014
11.001,0.4121,0.4047,-0.0074,-0.014
11.051,0.4115,0.4047,-0.0068,-0.012
11.101,0.4105,0.4047,-0.0058,-0.012
11.151,0.4097,0.4047,-0.005,-0.012
11.201,0.4092,0.4047,-0.0045,-0.012
11.251,0.4089,0.4047,-0.0042,-0.01
11.301,0.4079,0.4047,-0.0032,-0.012
11.351,0.4077,0.4047,-0.003,-0.012
11.401,0.4059,0.4047,-0.0012,-0.012
11.451,0.4055,0.4047,-0.0008,-0.012
11.501,0.4054,0.4047,-0.0007,-0.01
11.551,0.4046,0.4047,0.0001,-0.01
11.601,0.4039,0.4047,0.0008,-0.01
11.651,0.4036,0.4047,0.0011,-0.008
11.701,0.4029,0.4047,0.0018,-0.014
11.751,0.4017,0.4047,0.003,-0.014
11.801,0.4013,0.4047,0.0034,-0.014
11.851,0.4004,0.4047,0.0043,-0.014
11.901,0.3996,0.4047,0.0051,-0.014
11.951,0.3996,0.4047,0.0051,-0.014
12.001,0.3991,0.4047,0.0056,-0.014
12.052,0.3981,0.4047,0.0066,-0.014
12.101,0.3974,0.4047,0.0073,-0.0143
12.151,0.3971,0.4047,0.0076,-0.0143
12.201,0.3961,0.4047,0.0086,-0.0143
12.251,0.3955,0.4047,0.0092,-0.0143
12.301,0.3952,0.4047,0.0095,-0.012
12.351,0.3945,0.4047,0.0102,-0.012
12.401,0.3937,0.4047,0.011,-0.014
12.451,0.3935,0.4047,0.0112,-0.014
12.501,0.3925,0.4047,0.0122,-0.014
12.551,0.3917,0.4047,0.013,-0.014
12.601,0.3916,0.4047,0.0131,-0.014
12.651,0.3903,0.4047,0.0144,-0.014
12.701,0.3902,0.4047,0.0145,-0.014
12.751,0.3902,0.4047,0.0145,-0.014
12.801,0.3889,0.4047,0.0158,-0.016
12.851,0.3885,0.4047,0.0162,-0.008
12.901,0.388,0.4047,0.0167,-0.01
12.951,0.3873,0.4047,0.0174,-0.01
13.001,0.3868,0.4047,0.0179,-0.01
13.051,0.3866,0.4047,0.0181,-0.01
13.101,0.3855,0.4047,0.0192,-0.01
13.151,0.3849,0.4047,0.0198,-0.01
13.201,0.3842,0.4047,0.0205,-0.012
13.251,0.3831,0.4047,0.0216,-0.012
13.301,0.3827,0.4047,0.022,-0.012
13.351,0.3824,0.4047,0.0223,-0.012
13.401,0.3817,0.4047,0.023,-0.012
13.451,0.3813,0.4047,0.0234,-0.012
13.501,0.3807,0.4047,0.024,-0.012
13.551,0.3791,0.4047,0.0256,-0.012
13.601,0.3791,0.4047,0.0256,-0.012
13.651,0.3784,0.4047,0.0263,-0.012
13.701,0.3775,0.4047,0.0272,-0.012
13.751,0.3769,0.4047,0.0278,-0.012
13.801,0.3768,0.4047,0.0279,-0.012
13.851,0.3758,0.4047,0.0289,-0.012
13.901,0.3751,0.4047,0.0296,-0.014
13.951,0.3745,0.4047,0.0302,-0.014
14.001,0.3732,0.4047,0.0315,-0.014
14.053,0.3729,0.4047,0.0318,-0.014
14.102,0.3724,0.4047,0.0323,-0.012
14.152,0.3721,0.4047,0.0326,-0.012
14.202,0.371,0.4047,0.0337,-0.012
14.252,0.3706,0.4047,0.0341,-0.012
14.302,0.3692,0.4047,0.0355,-0.012
14.352,0.3685,0.4047,0.0362,-0.012
14.402,0.3681,0.4047,0.0366,-0.0102
14.452,0.3672,0.4047,0.0375,-0.0102
14.502,0.3666,0.4047,0.0381,-0.012
14.552,0.3661,0.4047,0.0386,-0.012
14.602,0.3654,0.4047,0.0393,-0.014
14.652,0.3643,0.4047,0.0404,-0.014
14.702,0.3639,0.4047,0.0408,-0.014
14.752,0.3631,0.4047,0.0416,-0.014
14.802,0.3627,0.4047,0.042,-0.012
14.852,0.3625,0.4047,0.0422,-0.012
14.902,0.3618,0.4047,0.0429,-0.012
14.952,0.3609,0.4047,0.0438,-0.014
15.002,0.3604,0.4047,0.0443,-0.014
15.052,0.3602,0.4047,0.0445,-0.01
15.102,0.3588,0.4047,0.0459,-0.01
15.152,0.3584,0.4047,0.0463,-0.01
15.202,0.3581,0.4047,0.0466,-0.008
15.252,0.357,0.4047,0.0477,-0.01
15.302,0.3569,0.4047,0.0478,-0.01
15.352,0.3563,0.4047,0.0484,-0.01
15.402,0.3554,0.4047,0.0493,-0.01
15.452,0.3551,0.4047,0.0496,-0.008
15.502,0.3541,0.4047,0.0506,-0.012
15.552,0.3539,0.4047,0.0508,-0.008
15.602,0.3534,0.4047,0.0513,-0.01
15.652,0.3533,0.4047,0.0514,-0.01
15.702,0.3522,0.4047,0.0525,-0.01
15.752,0.3521,0.4047,0.0526,-0.01
15.802,0.3514,0.4047,0.0533,-0.01
15.852,0.3508,0.4047,0.0539,-0.01
15.902,0.3507,0.4047,0.054,-0.01
15.952,0.35,0.4047,0.0547,-0.01
16.002,0.3493,0.4047,0.0554,-0.012
16.054,0.3489,0.4047,0.0558,-0.012
16.103,0.3489,0.4047,0.0558,-0.012
16.153,0.3471,0.4047,0.0576,-0.012
16.203,0.347,0.4047,0.0577,-0.012
16.253,0.3464,0.4047,0.0583,-0.012
16.303,0.3459,0.4047,0.0588,-0.01
16.353,0.3454,0.4047,0.0593,-0.01
16.403,0.3449,0.4047,0.0598,-0.01
16.453,0.3444,0.4047,0.0603,-0.01
16.503,0.3436,0.4047,0.0611,-0.01
16.553,0.343,0.4047,0.0617,-0.01
16.603,0.3424,0.4047,0.0623,-0.01
16.653,0.3419,0.4047,0.0628,-0.01
16.703,0.3417,0.4047,0.063,-0.01
16.753,0.3411,0.4047,0.0636,-0.01
16.803,0.3404,0.4047,0.0643,-0.012
16.853,0.3403,0.4047,0.0644,-0.012
16.903,0.339,0.4047,0.0657,-0.012
16.953,0.3385,0.4047,0.0662,-0.012
17.003,0.3382,0.4047,0.0665,-0.01
17.053,0.3376,0.4047,0.0671,-0.01
17.103,0.3375,0.4047,0.0672,-0.01
17.153,0.337,0.4047,0.0677,-0.01
17.203,0.3361,0.4047,0.0686,-0.01
17.253,0.3356,0.4047,0.0691,-0.01
17.303,0.335,0.4047,0.0697,-0.01
17.353,0.3341,0.4047,0.0706,-0.01
17.403,0.3339,0.4047,0.0708,-0.01
17.453,0.3333,0.4047,0.0714,-0.012
17.503,0.333,0.4047,0.0717,-0.01
17.553,0.3321,0.4047,0.0726,-0.012
17.603,0.3314,0.4047,0.0733,-0.012
17.653,0.3308,0.4047,0.0739,-0.012
17.703,0.3306,0.4047,0.0741,-0.012
17.753,0.3306,0.4047,0.0741,-0.012
17.803,0.3297,0.4047,0.075,-0.012
17.853,0.3293,0.4047,0.0754,-0.012
17.903,0.3293,0.4047,0.0754,-0.008
17.953,0.3278,0.4047,0.0769,-0.012
18.003,0.3274,0.4047,0.0773,-0.008
18.055,0.3271,0.4047,0.0776,-0.008
18.104,0.3268,0.4047,0.0779,-0.0061
18.154,0.3263,0.4047,0.0784,-0.008
