time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
14.405,0.7604,0.7,-0.0604,0.0
14.455,0.7581,0.7,-0.0581,0.0
14.505,0.7563,0.7,-0.0563,-0.012
14.555,0.7543,0.7,-0.0543,-0.016
14.605,0.7522,0.7,-0.0522,-0.024
14.655,0.7503,0.7,-0.0503,-0.036
14.705,0.748,0.7,-0.048,-0.038
14.755,0.7453,0.7,-0.0453,-0.04
14.805,0.7435,0.7,-0.0435,-0.04
14.855,0.7402,0.7,-0.0402,-0.042
14.905,0.7378,0.7,-0.0378,-0.042
14.955,0.7352,0.7,-0.0352,-0.046
15.005,0.7324,0.7,-0.0324,-0.048
15.055,0.7296,0.7,-0.0296,-0.052
15.105,0.7268,0.7,-0.0268,-0.054
15.155,0.7245,0.7,-0.0245,-0.054
15.205,0.7215,0.7,-0.0215,-0.056
15.255,0.7189,0.7,-0.0189,-0.056
15.305,0.7163,0.7,-0.0163,-0.052
15.355,0.7138,0.7,-0.0138,-0.052
15.405,0.7118,0.7,-0.0118,-0.052
15.455,0.7093,0.7,-0.0093,-0.052
15.505,0.7068,0.7,-0.0068,-0.05
15.555,0.7046,0.7,-0.0046,-0.05
15.605,0.7026,0.7,-0.0026,-0.05
15.655,0.7,0.7,0.0,-0.05
15.705,0.6985,0.7,0.0015,-0.05
15.755,0.6967,0.7,0.0033,-0.044
15.805,0.6951,0.7,0.0049,-0.04
15.855,0.6933,0.7,0.0067,-0.04
15.905,0.692,0.7,0.008,-0.036
15.955,0.6906,0.7,0.0094,-0.036
16.005,0.6895,0.7,0.0105,-0.032
16.057,0.6887,0.7,0.0113,-0.03
16.106,0.6873,0.7,0.0127,-0.0286
16.156,0.6864,0.7,0.0136,-0.028
16.206,0.6859,0.7,0.0141,-0.026
16.256,0.6853,0.7,0.0147,-0.022
16.306,0.6843,0.7,0.0157,-0.02
16.356,0.6839,0.7,0.0161,-0.018
16.406,0.683,0.7,0.017,-0.018
16.456,0.683,0.7,0.017,-0.0154
